iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"JLL","JONES LANG LASALLE INC","EQUITY","Real Estate","Equity","472,585,859.34","472,585,859.34","1,589,646.00","297.29","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"RPM","RPM INTERNATIONAL INC","EQUITY","Materials","Equity","472,284,108.00","472,284,108.00","4,373,001.00","108.00","United States","NYSE","USD","1.00","USD","-","0.39","0.38"
"DY","DYCOM INDUSTRIES INC","EQUITY","Industrials","Equity","469,689,184.10","469,689,184.10","1,028,554.00","456.65","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"SOLS","SOLSTICE ADVANCED MATERIALS INC","EQUITY","Materials","Equity","465,600,660.19","465,600,660.19","5,441,167.00","85.57","United States","NASDAQ","USD","1.00","USD","-","0.38","0.38"
"OHI","OMEGA HEALTHCARE INVESTORS REIT IN","EQUITY","Real Estate","Equity","454,379,577.94","454,379,577.94","10,203,898.00","44.53","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"UNM","UNUM","EQUITY","Financials","Equity","453,193,088.04","453,193,088.04","5,036,598.00","89.98","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"EXEL","EXELIXIS INC","EQUITY","Health Care","Equity","447,065,167.83","447,065,167.83","8,612,313.00","51.91","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"LAMR","LAMAR ADVERTISING COMPANY CLAS","EQUITY","Real Estate","Equity","446,381,706.70","446,381,706.70","2,982,838.00","149.65","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"SANM","SANMINA CORP","EQUITY","Information Technology","Equity","443,482,861.56","443,482,861.56","1,836,444.00","241.49","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"RNR","RENAISSANCERE HOLDING LTD","EQUITY","Financials","Equity","435,777,902.91","435,777,902.91","1,456,623.00","299.17","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"ALLY","ALLY FINANCIAL INC","EQUITY","Financials","Equity","433,527,524.28","433,527,524.28","9,530,172.00","45.49","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"GLPI","GAMING AND LEISURE PROPERTIES REIT","EQUITY","Real Estate","Equity","432,710,768.49","432,710,768.49","9,704,211.00","44.59","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"GGG","GRACO INC","EQUITY","Industrials","Equity","432,362,386.02","432,362,386.02","5,686,734.00","76.03","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"AIT","APPLIED INDUSTRIAL TECHNOLOGIES IN","EQUITY","Industrials","Equity","427,983,081.12","427,983,081.12","1,266,372.00","337.96","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"PEN","PENUMBRA INC","EQUITY","Health Care","Equity","427,464,746.80","427,464,746.80","1,347,619.00","317.20","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"TRU","TRANSUNION","EQUITY","Industrials","Equity","426,751,217.60","426,751,217.60","6,606,056.00","64.60","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"NTNX","NUTANIX INC CLASS A","EQUITY","Information Technology","Equity","426,187,663.30","426,187,663.30","9,087,157.00","46.90","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"WBS","WEBSTER FINANCIAL CORP","EQUITY","Financials","Equity","419,812,596.96","419,812,596.96","5,551,608.00","75.62","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"EQH","EQUITABLE HOLDINGS INC","EQUITY","Financials","Equity","418,660,624.13","418,660,624.13","9,243,997.00","45.29","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"DT","DYNATRACE INC","EQUITY","Information Technology","Equity","418,171,308.18","418,171,308.18","10,095,879.00","41.42","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"SPXC","SPX TECHNOLOGIES INC","EQUITY","Industrials","Equity","416,793,653.64","416,793,653.64","1,715,412.00","242.97","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"LFUS","LITTELFUSE INC","EQUITY","Information Technology","Equity","415,626,801.48","415,626,801.48","866,214.00","479.82","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"ELAN","ELANCO ANIMAL HEALTH INC","EQUITY","Health Care","Equity","414,478,071.00","414,478,071.00","17,113,050.00","24.22","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"ELS","EQUITY LIFESTYLE PROPERTIES REIT I","EQUITY","Real Estate","Equity","413,252,550.00","413,252,550.00","6,645,000.00","62.19","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"KNX","KNIGHT-SWIFT TRANSPORTATION HOLDIN","EQUITY","Industrials","Equity","412,841,766.55","412,841,766.55","5,567,657.00","74.15","United States","NYSE","USD","1.00","USD","-","0.34","0.34"
"BLD","TOPBUILD CORP","EQUITY","Consumer Discretionary","Equity","409,623,189.57","409,623,189.57","960,407.00","426.51","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"ARW","ARROW ELECTRONICS INC","EQUITY","Information Technology","Equity","407,696,915.60","407,696,915.60","1,752,028.00","232.70","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"FHN","FIRST HORIZON CORP","EQUITY","Financials","Equity","403,465,132.38","403,465,132.38","16,262,198.00","24.81","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"NYT","NEW YORK TIMES CLASS A","EQUITY","Communication","Equity","403,241,226.96","403,241,226.96","5,519,316.00","73.06","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"FNF","FIDELITY NATIONAL FINANCIAL INC","EQUITY","Financials","Equity","403,216,368.28","403,216,368.28","8,612,054.00","46.82","United States","NYSE","USD","1.00","USD","-","0.33","0.33"
"TXRH","TEXAS ROADHOUSE INC","EQUITY","Consumer Discretionary","Equity","400,331,038.50","400,331,038.50","2,252,214.00","177.75","United States","NASDAQ","USD","1.00","USD","-","0.33","0.33"
"MOGA","MOOG INC CLASS A","EQUITY","Industrials","Equity","398,678,214.90","398,678,214.90","974,406.00","409.15","United States","NYSE","USD","1.00","USD","-","0.33","0.32"
"CG","CARLYLE GROUP INC","EQUITY","Financials","Equity","397,849,132.80","397,849,132.80","8,880,561.00","44.80","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"SAIA","SAIA INC","EQUITY","Industrials","Equity","397,639,198.32","397,639,198.32","913,861.00","435.12","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","EQUITY","Health Care","Equity","394,888,193.28","394,888,193.28","4,826,304.00","81.82","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"SF","STIFEL FINANCIAL CORP","EQUITY","Financials","Equity","386,542,565.88","386,542,565.88","5,256,222.00","73.54","United States","NYSE","USD","1.00","USD","-","0.32","0.31"
"CCK","CROWN HOLDINGS INC","EQUITY","Materials","Equity","384,428,307.66","384,428,307.66","3,785,979.00","101.54","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"VMI","VALMONT INDS INC","EQUITY","Industrials","Equity","379,371,922.93","379,371,922.93","665,203.00","570.31","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"VIAV","VIAVI SOLUTIONS INC","EQUITY","Information Technology","Equity","378,049,436.72","378,049,436.72","8,014,616.00","47.17","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"CGNX","COGNEX CORP","EQUITY","Information Technology","Equity","376,912,577.70","376,912,577.70","5,702,157.00","66.10","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"BJ","BJS WHOLESALE CLUB HOLDINGS INC","EQUITY","Consumer Staples","Equity","372,850,623.88","372,850,623.88","4,375,154.00","85.22","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"EGP","EASTGROUP PROPERTIES REIT INC","EQUITY","Real Estate","Equity","367,735,431.41","367,735,431.41","1,838,953.00","199.97","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"FIVE","FIVE BELOW INC","EQUITY","Consumer Discretionary","Equity","367,679,466.14","367,679,466.14","1,894,669.00","194.06","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"HL","HECLA MINING","EQUITY","Materials","Equity","366,779,329.56","366,779,329.56","22,981,161.00","15.96","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"CYTK","CYTOKINETICS INC","EQUITY","Health Care","Equity","366,485,978.04","366,485,978.04","4,652,018.00","78.78","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"AAL","AMERICAN AIRLINES GROUP INC","EQUITY","Industrials","Equity","362,357,720.79","362,357,720.79","22,661,521.00","15.99","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"BMRN","BIOMARIN PHARMACEUTICAL INC","EQUITY","Health Care","Equity","362,194,423.89","362,194,423.89","6,622,681.00","54.69","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"CR","CRANE","EQUITY","Industrials","Equity","361,423,762.70","361,423,762.70","1,681,823.00","214.90","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"WMS","ADVANCED DRAINAGE SYSTEMS INC","EQUITY","Industrials","Equity","361,254,925.44","361,254,925.44","2,455,512.00","147.12","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"FLS","FLOWSERVE CORP","EQUITY","Industrials","Equity","357,772,633.40","357,772,633.40","4,379,102.00","81.70","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"WTRG","ESSENTIAL UTILITIES INC","EQUITY","Utilities","Equity","356,666,454.40","356,666,454.40","9,718,432.00","36.70","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"WTFC","WINTRUST FINANCIAL CORP","EQUITY","Financials","Equity","356,139,733.95","356,139,733.95","2,310,945.00","154.11","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
