iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","1,899,984,785.76","0.23","1,899,984,785.76","26,521,284.00","71.64","United States","NYSE","USD","1.00","USD","-"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","1,890,632,589.77","0.22","1,890,632,589.77","8,255,677.00","229.01","United States","NASDAQ","USD","1.00","USD","-"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","1,877,009,835.36","0.22","1,877,009,835.36","4,614,312.00","406.78","United States","NASDAQ","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","1,871,210,964.29","0.22","1,871,210,964.29","74,224,949.00","25.21","United States","NYSE","USD","1.00","USD","-"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","1,734,231,444.12","0.21","1,734,231,444.12","10,095,654.00","171.78","United States","NASDAQ","USD","1.00","USD","-"
"COP","CONOCOPHILLIPS","Energy","Equity","1,710,138,811.94","0.20","1,710,138,811.94","15,872,831.00","107.74","United States","NYSE","USD","1.00","USD","-"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","1,707,167,628.54","0.20","1,707,167,628.54","12,147,201.00","140.54","United States","NYSE","USD","1.00","USD","-"
"VRT","VERTIV HOLDINGS CLASS A","Industrials","Equity","1,666,727,409.80","0.20","1,666,727,409.80","5,004,436.00","333.05","United States","NYSE","USD","1.00","USD","-"
"APP","APPLOVIN CORP CLASS A","Information Technology","Equity","1,646,462,720.25","0.20","1,646,462,720.25","3,505,275.00","469.71","United States","NASDAQ","USD","1.00","USD","-"
"CVS","CVS HEALTH CORP","Health Care","Equity","1,634,447,984.88","0.19","1,634,447,984.88","16,623,759.00","98.32","United States","NYSE","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","1,633,949,214.66","0.19","1,633,949,214.66","8,107,722.00","201.53","United States","NYSE","USD","1.00","USD","-"
"SPGI","S&P GLOBAL INC","Financials","Equity","1,623,255,221.40","0.19","1,623,255,221.40","3,950,295.00","410.92","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","1,621,384,067.60","0.19","1,621,384,067.60","7,296,958.00","222.20","United States","NYSE","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","1,617,710,854.58","0.19","1,617,710,854.58","10,658,261.00","151.78","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","1,565,953,787.86","0.19","1,565,953,787.86","1,642,718.00","953.27","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","1,559,715,259.65","0.19","1,559,715,259.65","7,613,195.00","204.87","United States","NYSE","USD","1.00","USD","-"
"DELL","DELL TECHNOLOGIES INC CLASS C","Information Technology","Equity","1,543,383,387.00","0.18","1,543,383,387.00","3,768,946.00","409.50","United States","NYSE","USD","1.00","USD","-"
"CB","CHUBB","Financials","Equity","1,519,858,725.00","0.18","1,519,858,725.00","4,699,625.00","323.40","United States","NYSE","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","1,503,817,367.04","0.18","1,503,817,367.04","21,756,617.00","69.12","United States","NYSE","USD","1.00","USD","-"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","1,494,533,934.30","0.18","1,494,533,934.30","14,848,822.00","100.65","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","1,493,450,987.26","0.18","1,493,450,987.26","3,306,802.00","451.63","United States","NASDAQ","USD","1.00","USD","-"
"DHR","DANAHER CORP","Health Care","Equity","1,454,035,253.02","0.17","1,454,035,253.02","8,207,006.00","177.17","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE INC","Industrials","Equity","1,447,422,143.80","0.17","1,447,422,143.80","5,212,930.00","277.66","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","1,443,606,599.22","0.17","1,443,606,599.22","13,908,918.00","103.79","United States","NYSE","USD","1.00","USD","-"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","1,436,703,858.00","0.17","1,436,703,858.00","26,605,627.00","54.00","United States","NYSE","USD","1.00","USD","-"
"EQIX","EQUINIX REIT INC","Real Estate","Equity","1,403,375,682.61","0.17","1,403,375,682.61","1,284,919.00","1,092.19","United States","NASDAQ","USD","1.00","USD","-"
"TT","TRANE TECHNOLOGIES PLC","Industrials","Equity","1,392,205,051.80","0.17","1,392,205,051.80","2,880,027.00","483.40","United States","NYSE","USD","1.00","USD","-"
"CDNS","CADENCE DESIGN SYSTEMS INC","Information Technology","Equity","1,392,089,451.51","0.17","1,392,089,451.51","3,593,509.00","387.39","United States","NASDAQ","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","1,384,085,491.20","0.16","1,384,085,491.20","4,496,704.00","307.80","United States","NYSE","USD","1.00","USD","-"
"PWR","QUANTA SERVICES INC","Industrials","Equity","1,372,950,716.50","0.16","1,372,950,716.50","1,955,074.00","702.25","United States","NYSE","USD","1.00","USD","-"
"SO","SOUTHERN","Utilities","Equity","1,367,240,477.73","0.16","1,367,240,477.73","14,687,297.00","93.09","United States","NYSE","USD","1.00","USD","-"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","1,350,567,054.65","0.16","1,350,567,054.65","2,643,247.00","510.95","United States","NYSE","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","1,327,150,963.92","0.16","1,327,150,963.92","16,727,388.00","79.34","United States","NYSE","USD","1.00","USD","-"
"CMI","CUMMINS INC","Industrials","Equity","1,288,775,209.16","0.15","1,288,775,209.16","1,797,806.00","716.86","United States","NYSE","USD","1.00","USD","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","1,286,351,606.52","0.15","1,286,351,606.52","18,729,639.00","68.68","United States","NYSE","USD","1.00","USD","-"
"BNY","BANK OF NEW YORK MELLON CORP","Financials","Equity","1,284,434,399.43","0.15","1,284,434,399.43","8,942,661.00","143.63","United States","NYSE","USD","1.00","USD","-"
"NOW","SERVICENOW INC","Information Technology","Equity","1,277,015,509.44","0.15","1,277,015,509.44","13,436,611.00","95.04","United States","NYSE","USD","1.00","USD","-"
"DUK","DUKE ENERGY CORP","Utilities","Equity","1,258,064,103.56","0.15","1,258,064,103.56","10,157,146.00","123.86","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP INC","Financials","Equity","1,213,999,170.12","0.14","1,213,999,170.12","5,231,853.00","232.04","United States","NYSE","USD","1.00","USD","-"
"BX","BLACKSTONE INC","Financials","Equity","1,198,140,137.48","0.14","1,198,140,137.48","9,678,812.00","123.79","United States","NYSE","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","1,175,852,313.72","0.14","1,175,852,313.72","20,224,498.00","58.14","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","1,175,575,904.97","0.14","1,175,575,904.97","1,566,119.00","750.63","United States","NYSE","USD","1.00","USD","-"
"FTNT","FORTINET INC","Information Technology","Equity","1,174,290,590.72","0.14","1,174,290,590.72","8,113,664.00","144.73","United States","NASDAQ","USD","1.00","USD","-"
"WMB","WILLIAMS INC","Energy","Equity","1,165,104,389.92","0.14","1,165,104,389.92","15,934,141.00","73.12","United States","NYSE","USD","1.00","USD","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","1,163,178,951.26","0.14","1,163,178,951.26","4,721,077.00","246.38","United States","NASDAQ","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","1,157,489,020.17","0.14","1,157,489,020.17","3,307,017.00","350.01","United States","NYSE","USD","1.00","USD","-"
"JCI","JOHNSON CONTROLS INTERNATIONAL PLC","Industrials","Equity","1,151,185,475.96","0.14","1,151,185,475.96","7,949,078.00","144.82","United States","NYSE","USD","1.00","USD","-"
"CEG","CONSTELLATION ENERGY CORP","Utilities","Equity","1,141,469,218.04","0.14","1,141,469,218.04","4,165,034.00","274.06","United States","NASDAQ","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","1,137,479,935.23","0.14","1,137,479,935.23","5,208,003.00","218.41","United States","NASDAQ","USD","1.00","USD","-"
