iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"MATX","MATSON INC","EQUITY","Industrials","Equity","348,987,565.08","348,987,565.08","1,824,867.00","191.24","United States","NYSE","USD","1.00","USD","-","0.33","0.32"
"ACLS","AXCELIS TECHNOLOGIES INC","EQUITY","Information Technology","Equity","347,536,034.37","347,536,034.37","1,853,229.00","187.53","United States","NASDAQ","USD","1.00","USD","-","0.32","0.32"
"MHK","MOHAWK INDUSTRIES INC","EQUITY","Consumer Discretionary","Equity","346,711,089.50","346,711,089.50","3,087,365.00","112.30","United States","NYSE","USD","1.00","USD","-","0.32","0.32"
"MTRN","MATERION CORP","EQUITY","Materials","Equity","344,905,764.12","344,905,764.12","1,254,294.00","274.98","United States","NYSE","USD","1.00","USD","-","0.32","0.32"
"LTH","LIFE TIME GROUP HOLDINGS INC","EQUITY","Consumer Discretionary","Equity","341,940,597.96","341,940,597.96","9,261,663.00","36.92","United States","NYSE","USD","1.00","USD","-","0.32","0.32"
"TFX","TELEFLEX INC","EQUITY","Health Care","Equity","339,019,261.00","339,019,261.00","2,669,443.00","127.00","United States","NYSE","USD","1.00","USD","-","0.32","0.32"
"CE","CELANESE CORP","EQUITY","Materials","Equity","338,300,922.96","338,300,922.96","6,612,606.00","51.16","United States","NYSE","USD","1.00","USD","-","0.32","0.32"
"AUB","ATLANTIC UNION BANKSHARES CORP","EQUITY","Financials","Equity","337,896,915.84","337,896,915.84","8,628,624.00","39.16","United States","NYSE","USD","1.00","USD","-","0.32","0.31"
"ABCB","AMERIS BANCORP","EQUITY","Financials","Equity","333,454,429.28","333,454,429.28","3,806,992.00","87.59","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"LGND","LIGAND PHARMACEUTICALS INC","EQUITY","Health Care","Equity","332,181,209.92","332,181,209.92","1,208,459.00","274.88","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"PRIM","PRIMORIS SERVICES CORP","EQUITY","Industrials","Equity","331,406,900.70","331,406,900.70","3,271,539.00","101.30","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"PIPR","PIPER SANDLER COMPANIES","EQUITY","Financials","Equity","331,220,061.00","331,220,061.00","4,049,145.00","81.80","United States","NYSE","USD","1.00","USD","-","0.31","0.31"
"DIOD","DIODES INC","EQUITY","Information Technology","Equity","330,953,656.44","330,953,656.44","2,770,414.00","119.46","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"CWST","CASELLA WASTE SYSTEMS INC CLASS A","EQUITY","Industrials","Equity","328,440,568.06","328,440,568.06","3,776,047.00","86.98","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"UCTT","ULTRA CLEAN HOLDINGS INC","EQUITY","Information Technology","Equity","327,827,116.80","327,827,116.80","2,703,060.00","121.28","United States","NASDAQ","USD","1.00","USD","-","0.31","0.31"
"LYFT","LYFT INC CLASS A","EQUITY","Industrials","Equity","326,933,374.32","326,933,374.32","22,894,494.00","14.28","United States","NASDAQ","USD","1.00","USD","-","0.31","0.30"
"MARA","MARA HOLDINGS INC","EQUITY","Information Technology","Equity","326,921,653.62","326,921,653.62","22,990,271.00","14.22","United States","NASDAQ","USD","1.00","USD","-","0.31","0.30"
"VSNT","VERSANT MEDIA GROUP INC","EQUITY","Communication","Equity","325,144,785.36","325,144,785.36","8,509,416.00","38.21","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"BCPC","BALCHEM CORP","EQUITY","Materials","Equity","321,455,233.12","321,455,233.12","1,937,411.00","165.92","United States","NASDAQ","USD","1.00","USD","-","0.30","0.30"
"AIR","AAR CORP","EQUITY","Industrials","Equity","319,045,961.28","319,045,961.28","2,365,406.00","134.88","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"BOOT","BOOT BARN HOLDINGS INC","EQUITY","Consumer Discretionary","Equity","318,801,519.38","318,801,519.38","1,829,879.00","174.22","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"LNC","LINCOLN NATIONAL CORP","EQUITY","Financials","Equity","317,693,997.18","317,693,997.18","8,547,054.00","37.17","United States","NYSE","USD","1.00","USD","-","0.30","0.30"
"NE","NOBLE CORPORATION PLC","EQUITY","Energy","Equity","316,775,627.44","316,775,627.44","7,600,183.00","41.68","United States","NYSE","USD","1.00","USD","-","0.30","0.29"
"WSC","WILLSCOT HOLDINGS CORP CLASS A","EQUITY","Industrials","Equity","314,751,482.92","314,751,482.92","10,913,713.00","28.84","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"PAYC","PAYCOM SOFTWARE INC","EQUITY","Industrials","Equity","312,408,284.65","312,408,284.65","2,502,269.00","124.85","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"VIRT","VIRTU FINANCIAL INC CLASS A","EQUITY","Financials","Equity","310,201,280.55","310,201,280.55","4,918,365.00","63.07","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"RITM","RITHM CAPITAL CORP","EQUITY","Financials","Equity","309,382,700.93","309,382,700.93","33,665,147.00","9.19","United States","NYSE","USD","1.00","USD","-","0.29","0.29"
"PECO","PHILLIPS EDISON AND COMPANY INC","EQUITY","Real Estate","Equity","309,146,628.83","309,146,628.83","7,597,607.00","40.69","United States","NASDAQ","USD","1.00","USD","-","0.29","0.29"
"MTH","MERITAGE CORP","EQUITY","Consumer Discretionary","Equity","304,586,817.30","304,586,817.30","4,022,010.00","75.73","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"ENVA","ENOVA INTERNATIONAL INC","EQUITY","Financials","Equity","303,930,123.45","303,930,123.45","1,500,519.00","202.55","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"FTDR","FRONTDOOR INC","EQUITY","Consumer Discretionary","Equity","303,059,605.52","303,059,605.52","4,235,042.00","71.56","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"AX","AXOS FINANCIAL INC","EQUITY","Financials","Equity","301,108,335.62","301,108,335.62","3,418,966.00","88.07","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
"LQDA","LIQUIDIA CORP","EQUITY","Health Care","Equity","301,062,185.52","301,062,185.52","4,236,136.00","71.07","United States","NASDAQ","USD","1.00","USD","-","0.28","0.28"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","EQUITY","Financials","Equity","301,002,062.76","301,002,062.76","7,706,146.00","39.06","United States","NYSE","USD","1.00","USD","-","0.28","0.28"
